Question no,Question,Answer,Section
260,Hoe wordt Vinorelbine toegediend?,Vinorelbine wordt toegediend via een infuus in een ader in de hand of arm.,"Vinorelbine monotherapie, patiënteninformatie --- V V --- Wijze van toediening: De medicijnen worden u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. De Vinorelbine wordt gegeven op dag één en acht en duurt ongeveer een uur. De kuur wordt afhankelijk van de bloeduitslagen om de drie weken gegeven. Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden: 
- Bij koorts boven de 38,5° moet u contact met ons opnemen. 
- Uw haar gaat in principe niet uitvallen, mogelijk wordt het alleen wat dunner. Haaruitval begint meestal met een pijnlijke hoofdhuid. 
- Vinorelbine kan irriterend werken op uw bloedvaten, daarom wordt er na de toediening altijd een half uur extra gespoeld met NaCl 0,9% infuusvloeistof. 
- U kunt last krijgen van tintelingen en/of een doof gevoel in de vingertoppen en/of tenen. Meldt dit altijd bij het volgende bezoek aan het ziekenhuis. 
- Obstipatie (verstopping) komt regelmatig voor. 
- Resten cytostatica kunnen tot dag vijftien in het lichaamsvocht (onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u adviezen over hoe u hiermee om kunt gaan."
264,Kom ik in aanmerking voor de griepprik als ik een verminderde afweer tegen infecties heb?,"Ja, u komt in aanmerking voor de (gratis) griepprik als u een verminderde afweer tegen infecties heeft.","Filgotinib bij IBD --- Griepprik --- U komt in aanmerking voor de (gratis) griepprik, omdat u een iets verminderde afweer tegen infecties heeft. Hiervoor kunt u bij uw huisarts terecht. De griepprik beschermt u niet tegen alle griepsoorten die er zijn."
267,Wie worden het meest getroffen door griep?,Ouderen en mensen met een chronische ziekte hebben een grotere kans op ernstige klachten als ze griep krijgen.,"Influenza, informatie over --- Wat is het influenzavirus? --- Het influenzavirus is de veroorzaker van griep. De toevoeging A of B staat voor het type virus, maar beide typen veroorzaken griep. Griep is een besmettelijke ziekte van de luchtwegen. Het slijmvlies van de luchtwegen is bij iemand met griep ontstoken en door hoesten, niezen en praten komen kleine druppeltjes met het virus in de lucht. Andere mensen kunnen besmet worden door deze druppeltjes in te ademen. De klachten beginnen vaak met koude rillingen, koorts, hoofdpijn en spierpijn. Ook keelpijn en droge hoest kunnen optreden. Als u besmet bent met het influenzavirus kunt u zich flink ziek voelen, maar gelukkig gaat het meestal vanzelf over. De koorts en pijn verdwijnen na drie tot vijf dagen. Maar sommige mensen hebben een grotere kans op ernstige klachten als ze griep krijgen, zoals ouderen en mensen met een chronische ziekte. Er kunnen andere ziektes bijkomen die wél behandeld moeten worden, zoals longontsteking."
270,Welke voorzorgsmaatregelen gelden er bij het gebruik van neuszalf?,"Vermijd contact met de ogen en laat het middel niet in de mond komen, in verband met mogelijke irritatie. Als er toch zalf in de ogen komt, spoel de ogen dan direct uit met water.","Borstoperatie met prothese --- Welke voorzorgsmaatregelen gelden er bij het gebruik van neuszalf? --- Vermijd contact met de ogen en laat het middel niet in de mond komen, in verband met mogelijke irritatie. Als er toch zalf in de ogen komt, spoel de ogen dan direct uit met water."
273,Hoe moet je de oogdruppels gebruiken?,"Om de oogdruppels te gebruiken, moet je je handen wassen, het flesje openen en het onderste ooglid omlaag trekken terwijl je een druppel in het oog laat vallen.","Scheelzienoperatie (strabismusoperatie) --- Hoe kunt u de oogdruppels het beste gebruiken? --- - Was uw handen. 
- Draai de dop van het flesje en zet het geopende flesje klaar. 
- Buig het hoofd zo ver mogelijk naar achteren of laat diegene die gedruppeld moet worden op de rug gaan liggen. 
- Trek daarna het onderste ooglid omlaag en neem het flesje in de andere hand. 
- Knijp in het flesje en laat een oogdruppel in het onderste, witte gedeelte van het geopende oog vallen. 
- Het is daarbij belangrijk dat het flesje het oog niet raakt omdat bij eventuele infecties daardoor de rest van de vloeistof besmet kan worden. 
- Vervolgens laat u het ooglid los en kunt u het gesloten oog afvegen. 
- Op dezelfde manier druppelt u ook het andere oog. 
- Indien u twijfelt of de druppel er wel in is gekomen, dan nogmaals druppelen. 
- Was na het druppelen weer uw handen."
277,Hoe kan de oogarts bepalen of er sprake is van staar?,De oogarts bekijkt uw ogen met een microscoop om te zien of er troebelingen in de ooglens zijn.,"Staaroperatie --- Diagnose --- Om erachter te komen of er inderdaad sprake is van staar, bekijkt de oogarts uw ogen met een microscoop. De oogarts kan zo het voorste deel van het oog met hoge vergroting heel nauwkeurig bekijken en zien of er troebelingen in de ooglens zijn. Zo ja, dan kan hij daarbij ook direct zien hoever de staar zich al ontwikkeld heeft. Daarnaast onderzoekt de oogarts hoe de gezichtsscherpte is en of uw ogen verder gezond zijn."
286,Hoe kan langdurige pijn het dagelijks leven beïnvloeden?,Langdurige pijnklachten kunnen uw dagelijks leven flink belemmeren.,Revalidatie en chronische pijn --- Revalidatie en chronische pijn --- Langdurige pijnklachten kunnen uw dagelijks leven flink belemmeren. Het pijnrevalidatieprogramma van ZGT kan dan uitkomst bieden. In deze folder leest u meer over dit programma.
287,Wat zijn mogelijke bijwerkingen van de VNUS closure behandeling?,"Mogelijke bijwerkingen van de VNUS closure behandeling zijn blauwe plekken rond de aanprikplaats, een trekkend of licht pijnlijk gevoel in het behandelde gebied, gevoelsstoornissen in het been, oppervlakkige spataderontsteking, brandwonden, trombosebeen en zenuwletsel.","VNUS closure --- Wat kunnen mogelijke bijwerkingen van deze behandeling zijn --- - Na de behandeling kunt u blauwe plekken hebben rond de aanprikplaats. Schrikt u daar niet van, deze verdwijnen meestal binnen enkele weken na de behandeling. 
- Soms kunt u een trekkend, iets pijnlijk gevoel krijgen in het behandelde gebied gedurende twee weken. 
- Het kan voorkomen dat u na de behandeling gevoelsstoornissen in het been of een oppervlakkige spataderontsteking krijgt. 
- Zelden komen brandwonden, trombosebeen en zenuwletsel voor."
290,Waarom moet ik eventuele piercings en kunstnagels verwijderen voor de operatie?,Het verwijderen van piercings en kunstnagels is belangrijk omdat deze voorwerpen complicaties kunnen veroorzaken tijdens de operatie.,"Claviculafractuur --- Nuchter --- Omdat nuchterheid van groot belang is voor uw operatie, ontvangt u hierover een aparte folder: anesthesie volwassenen. In deze folder leest u over de nuchterheid en ook hoe u zich voorbereidt op de operatie. Bijvoorbeeld doordat u voorafgaand aan de operatie: 
- Piercings en kunstnagels verwijdert. 
- De voorschriften voor het zo nodig scheren van het te opereren gebied kent. 
- Weet welke medicatie u voorafgaand aan de operatie krijgt. 
- Wat u zelf en wat ZGT doet voor uw veiligheid. 
- Als u rookt, raden wij u aan om in ieder geval de uren voor de operatie niet te roken. Luchtwegen van rokers zijn gevoeliger voor ontstekingen."
295,Wat is Cryolaesie behandeling (Nocepta)?,Cryolaesie behandeling is een behandeling die Nocepta wordt genoemd.,"Cryolaesie behandeling (Nocepta) --- Na de behandeling --- Na de behandeling gaat u naar de aftercare-ruimte. U kunt een verdoofd gevoel of krachtsvermindering hebben aan de behandelde kant, reden waarom u na de behandeling niet zelf actief deel mag nemen aan het verkeer."
296,Kan ik mijn overige medicatie innemen voor de Ganglion Gasseri blokkade Sweet procedure?,"Ja, u kunt uw overige medicatie innemen tot een uur voor de procedure, met enkel een paar slokjes water, tenzij de pijnspecialist andere afspraken met u heeft gemaakt.","Ganglion Gasseri blokkade Sweet (Nocepta) --- Voorbereiding --- - Overige medicatie kunt u gewoon innemen (tot een uur voor de procedure, met enkel een paar slokjes water), tenzij de pijnspecialist andere afspraken met u heeft gemaakt. 
- Na de behandeling mag u de rest van de dag niet actief deelnemen aan het verkeer. Regel daarom van tevoren dat iemand die met u meerijdt. 
- Draag makkelijk zittende kleding."
300,Welke geur heeft cinnamica alcohol?,Cinnamica alcohol heeft een geur van hyacint.,"Geurstoffen mix --- De geurstoffen mix bestaat uit: Wordt gevonden in: --- Cinnamica alcohol -geur van hyacint -ester in natuur- lijke geuren zoals perubalsem, storax, kaneelbladeren, hyacint en propolis -geur in parfum, cosmetica, deodorant, wasmiddel, toiletzeep, verzorgingsproducten -smaakstof in dranken (cola, kruidenbitters, Vermouth), kauwgom tandpasta en mondwater"
302,In welke oliën is isoeugenol te vinden?,Iseugenol is te vinden in nootmuskaatolie en ylang ylangolie.,"Geurstoffen mix --- Iseugenol --- -geur van kruidnagel, maar zwakker dan dat van eugenol -bestanddeel van nootmuskaatolie en ylang ylangolie"
303,Waar wordt hydroxymethylpentylcyclohexenecarboxaldehyde (Lyral®) voornamelijk in verwerkt?,"Hydroxymethylpentylcyclohexenecarboxaldehyde (Lyral®) wordt voornamelijk verwerkt in eau de toilettes, parfum, aftershave en deodorant.","Hydroxymethylpentylcyclohexenecarboxaldehyde --- Waar komt het in voor? --- Hydroxymethylpentylcyclohexenecarboxalde- hyde (Lyral®) wordt voornamelijk verwerkt in 
- Eau de toilettes; 
- Parfum; 
- Aftershave; 
- Deodorant."
309,Wat zijn de symptomen van blaaskrampen en hoe kunnen deze worden bestreden?,Bij blaaskrampen kunt u pijn ervaren die uitstraalt naar het topje van de penis. Deze krampen kunnen met medicatie worden bestreden.,"Bipolaire enucleatie van de prostaat --- Na de operatie --- Na de operatie verblijft u tijdelijk op de uitslaapkamer. Zodra de anesthesist akkoord geeft, haalt de afdelingsverpleegkundige u op. U heeft een infuus waarmee vocht en eventueel medicatie kan worden toegediend en een blaaskatheter met eventueel een spoelsysteem. De urine kan soms bloederig zijn omdat de prostaat zeer veel kleine bloedvaatjes heeft die na de operatie weer gemakkelijk kunnen gaan bloeden. Hoe lang de urine bloederig blijft verschilt per persoon. Dit is ook afhankelijk van hoeveel u drinkt. De katheter is een slangetje dat normaal niet in het lichaam hoort. De blaas kan proberen het slangetje ‘uit te plassen’, waardoor u zogenaamde blaaskrampen kunt ervaren. U krijgt dan het gevoel dat u erg nodig naar het toilet moet. Ook kunt u pijn ervaren die uitstraalt naar het topje van de penis. Deze krampen kunnen met medicatie worden bestreden, laat uw verpleegkundige dus weten wanneer u hier last van heeft. Indien uw situatie het toestaat, mag u de dag van de operatie alweer uit bed."
310,Welke onderdelen zitten er in het starterspakket voor de buikkatheter?,"In het starterspakket voor de buikkatheter zitten opvangmateriaal, een fixatiepleister, een beenzak, beenbandjes, een grote urineopvangzak, een bedrekje en een klein trechtertje.","Buikkatheter_ supra pubische katheter --- Omgaan met de buikkatheter en het opvangmateriaal --- U hebt een starterspakket voor de buikkatheter gekregen. Dankzij het opvangmateriaal belemmert de aanwezigheid van de katheter u in principe niet in uw activiteiten. De katheter wordt met een fixatiepleister op het bovenbeen bevestigd. Zorg voor voldoende bewegingsvrijheid, voorkom trekken aan de katheter. Overdag kunt u de beenzak op het bovenbeen dragen. Deze bevestigen we met beenbandjes. U kunt zich hiermee vrij bewegen. Geeft u de voorkeur aan uw onderbeen dan fixeert u de slang bovenaan uw been met een pleister zodat hij niet trekt. Aan de onderzijde van de beenzak bevindt zich een aftapkraantje, hiermee kan de beenzak worden geleegd. Deze zak met een inhoud van ongeveer 500 ml kunt u een week laten zitten. Controleer altijd of het aftapkraantje dicht zit. Bovendien moet de slang zo liggen dat de urine soepel kan aflopen. Voorkom daarom een knik in de slang. Voor de nacht kunt u een grote urineopvangzak met een inhoud van twee liter aansluiten. Deze nachtzak wordt aangesloten aan het aftapkraantje van de beenzak. Open vervolgens het aftapkraantje van de beenzak, zodat de urine door kan stromen naar de nachtzak. De beenzak blijft dus ’s nachts aan de katheter zitten. U kunt dan wel de beenbanden losmaken van de beenzak. Bevestig de nachtzak aan uw bed met behulp van het bedrekje (aanwezig in het starterspakket) of leg deze (in een bak of emmer) op de grond. De urineopvangzak moet altijd lager liggen/hangen dan de blaas. Sluit ’s morgens het aftapkraantje van de beenzak en koppel de nachtzak af. Leeg de nachtzak in het toilet. In het starterspakket zit een klein trechtertje om de nachtzak door te spoelen. Spoel deze door met lauwwarm water (eventueel met een beetje azijn). Doe vervolgens het beschermdopje weer op de connector. Hierna dient u de nachtzak in een schone handdoek te wikkelen en op een koele droge plaats te bewaren. Zowel de beenzak als de nachtzak kunnen een week gebruikt worden. Voor het verwisselen van de beenzak knipt u de slang van de nieuwe beenzak op de gewenste lengte af en sluit vervolgens het koppelstukje hierop aan. Maak de oude beenzak voorzichtig los van de katheter. Haal het dopje van de nieuwe beenzak en schuif deze zonder het koppelstukje aan te raken op de katheter."
313,Wat moet er gebeuren voor en na het inbrengen van de ballonkatheter?,Voor en na het inbrengen van de ballonkatheter moet er een hartfilmpje (CTG) van de baby gemaakt worden.,"Inleiden van de baring --- Rijpen van de baarmoedermond met behulp van een ballonkatheter --- De baarmoedermond kan door middel van een ballonkatheter gerijpt worden. Er wordt dan een katheter in de baarmoedermond gebracht. Het ballonnetje van de katheter wordt gevuld met water (zie afbeelding). De katheterslang wordt vervolgens met een pleister vastgeplakt aan het bovenbeen om spanning uit te oefenen op de katheter. De katheter kan 24 uur blijven zitten, maar kan er ook eerder uitvallen als er wat ontsluiting is opgetreden. Voor en na het inbrengen van de katheter wordt er een hartfilmpje (CTG) van de baby gemaakt. Meestal wordt u opgenomen, het is dan niet mogelijk dat uw partner ook blijft slapen. In sommige gevallen mag u met ballonkatheter naar huis. U belt de volgende ochtend een uur voor het opname tijdstip weer met de afdeling om te horen of de opname op dat tijdstip door kan gaan. Na opname wordt de baarmoederhals beoordeeld door een inwendig onderzoek. Bij voldoende ontsluiting kunnen de vliezen worden gebroken. Lukt dit niet, dan kan de procedure met de katheter worden herhaald of worden tabletten (misoprostol) gegeven."
314,Wat is een postoperatieve ileus?,Een postoperatieve ileus is een aandoening waarbij de darmen na een operatie tijdelijk geen voedsel kunnen verwerken en er sprake is van een vertraagde spijsvertering.,"Postoperatieve ileus --- Misselijkheid/braken --- De verpleegkundige zal een slangetje via uw neus, door uw keel en vervolgens in uw maag brengen, dit heet een maagsonde. Uw maag produceert iedere dag zo’n 1,5 liter aan verteringssappen. Normaal gesproken wordt dit door de darmen gebruikt voor het verteren van voedsel, echter nu zal dit zich ophopen in uw maag. Door middel van de maagsonde kunnen deze verteringssappen worden verwijderd waardoor misselijkheid in veel gevallen wordt bestreden en braken wordt voorkomen. Uw maag kan hierdoor tot rust komen en herstellen. Ook komt er zo minder druk op uw darmen waardoor de opgezette buik en eventuele pijnklachten wat verminderd kunnen worden. Mocht de misselijkheid toch aanhouden, dan zal de verpleegkundige u medicatie toedienen om deze klachten te bestrijden."
315,Hoeveel liter water wordt aanbevolen om te drinken na de verwijdering van de blaaskatheter?,Het advies is om 2 tot 3 liter per dag te drinken om uw blaas goed te 'spoelen'.,"Transurethale resectie blaastumor --- De rest van uw verblijf --- De volgende dag wordt de blaaskatheter verwijderd. Bij een diepe wond of meer bloedverlies kan het zijn dat de blaaskatheter langer moet blijven zitten. Nadat de blaaskatheter is verwijderd en het plassen op gang komt zal de verpleegkundige controleren door middel van een echoapparaat of u de blaas goed leeg plast. Het infuus wordt verwijderd als u zelf voldoende kunt drinken. Het advies is om 2 tot 3 liter per dag te drinken, om zo uw blaas goed te ‘spoelen’."
